都道府県,市区町村,区,昼間人口
大阪府,河南町,null,16679
北海道,浦幌町,null,5379
愛知県,豊橋市,null,368658
高知県,土佐清水市,null,15786
岡山県,吉備中央町,null,12753
山梨県,富士吉田市,null,49845
北海道,豊富町,null,4283
静岡県,御殿場市,null,87651
福島県,北塩原村,null,3115
静岡県,静岡市,清水区,243909
香川県,多度津町,null,22980
北海道,遠別町,null,3036
沖縄県,渡名喜村,null,442
千葉県,浦安市,null,162294
佐賀県,武雄市,null,49576
埼玉県,さいたま市,中央区,94538
宮城県,岩沼市,null,43204
愛媛県,上島町,null,7524
岡山県,里庄町,null,10672
岡山県,真庭市,null,48168
北海道,芦別市,null,16256
島根県,出雲市,null,141449
静岡県,清水町,null,31578
大阪府,大阪市,生野区,131818
神奈川県,鎌倉市,null,170398
大分県,玖珠町,null,16775
神奈川県,愛川町,null,41140
滋賀県,甲賀市,null,91171
北海道,剣淵町,null,3484
山口県,長門市,null,37714
福島県,石川町,null,17370
大分県,由布市,null,34126
長野県,須坂市,null,50979
北海道,上富良野町,null,11353
秋田県,由利本荘市,null,83280
長崎県,新上五島町,null,21706
鹿児島県,湧水町,null,11327
山口県,萩市,null,52845
群馬県,沼田市,null,50077
北海道,沼田町,null,3551
鹿児島県,枕崎市,null,23089
長野県,上松町,null,5156
山梨県,小菅村,null,797
北海道,池田町,null,7399
熊本県,和水町,null,10983
青森県,田子町,null,6069
長崎県,平戸市,null,34073
北海道,広尾町,null,7745
埼玉県,八潮市,null,80999
山口県,防府市,null,114573
新潟県,刈羽村,null,4685
佐賀県,鹿島市,null,30183
栃木県,鹿沼市,null,99873
千葉県,銚子市,null,68976
新潟県,妙高市,null,34594
山口県,岩国市,null,141322
静岡県,東伊豆町,null,13721
宮崎県,高鍋町,null,21344
岩手県,遠野市,null,28612
群馬県,昭和村,null,7483
長野県,小諸市,null,42907
奈良県,五條市,null,33840
新潟県,村上市,null,64759
千葉県,多古町,null,15714
愛知県,犬山市,null,73304
熊本県,宇城市,null,60755
鹿児島県,錦江町,null,8760
北海道,中頓別町,null,1938
岡山県,新見市,null,33012
北海道,ニセコ町,null,4735
東京都,国立市,null,73597
宮城県,栗原市,null,73562
埼玉県,羽生市,null,54772
沖縄県,本部町,null,13616
徳島県,美馬市,null,31654
群馬県,桐生市,null,119463
愛媛県,西条市,null,109225
大阪府,堺市,西区,131131
滋賀県,野洲市,null,48673
宮城県,大崎市,null,132614
宮崎県,美郷町,null,6087
北海道,北広島市,null,58795
島根県,江津市,null,24787
京都府,京都市,伏見区,276715
東京都,府中市,null,246380
大分県,津久見市,null,19393
大分県,豊後大野市,null,38041
茨城県,ひたちなか市,null,152891
