都道府県,市区町村,区,昼間人口
福島県,湯川村,null,2653
茨城県,河内町,null,8022
長野県,飯綱町,null,9356
神奈川県,横浜市,旭区,197891
奈良県,三郷町,null,18467
神奈川県,横浜市,南区,154387
奈良県,安堵町,null,6240
埼玉県,鶴ヶ島市,null,55072
大阪府,交野市,null,61052
長野県,筑北村,null,4062
神奈川県,横浜市,港南区,173691
愛知県,岩倉市,null,37115
埼玉県,志木市,null,54519
京都府,向日市,null,42533
埼玉県,松伏町,null,24362
愛知県,幡豆町,null,9638
愛知県,知多市,null,66121
奈良県,上牧町,null,18500
神奈川県,横浜市,泉区,121197
兵庫県,神戸市,垂水区,171422
神奈川県,横浜市,栄区,97103
茨城県,城里町,null,16708
福岡県,糸田町,null,7470
神奈川県,大磯町,null,25579
奈良県,斑鳩町,null,21454
和歌山県,日高町,null,5737
神奈川県,横浜市,青葉区,234794
奈良県,生駒市,null,91066
大阪府,太子町,null,10959
福岡県,春日市,null,82226
埼玉県,白岡町,null,38707
大阪府,阪南市,null,43460
宮城県,富谷町,null,36088
熊本県,山江村,null,2822
京都府,精華町,null,27312
埼玉県,東秩父村,null,2559
奈良県,三宅町,null,5686
石川県,津幡町,null,28226
長野県,高山村,null,5775
愛知県,大治町,null,22786
大阪府,島本町,null,22053
千葉県,鎌ケ谷市,null,82033
富山県,舟橋村,null,2254
千葉県,酒々井町,null,16118
三重県,度会町,null,6592
埼玉県,鳩ヶ谷市,null,46033
埼玉県,さいたま市,南区,132091
兵庫県,猪名川町,null,23948
福井県,南越前町,null,8708
新潟県,田上町,null,9624
長野県,松川村,null,7579
神奈川県,葉山町,null,24585
石川県,内灘町,null,20193
東京都,狛江市,null,58983
長崎県,長与町,null,31857
山形県,山辺町,null,11330
千葉県,流山市,null,122308
千葉県,大網白里町,null,37342
神奈川県,川崎市,宮前区,162710
