店名,台数,都道府県,市区郡,区町
バイパスレジャーランド宇ノ気店,3,石川県,かほく市,null
ジョイランド大和田店,3,福井県,福井市,null
フクイレジャーランド　ワイプラザ店,3,福井県,福井市,null
♪ザ・サードプラネット　ＢｉＶｉ沼津店,9,静岡県,沼津市,null
ジョイランドアミューズ諏訪店,3,静岡県,沼津市,null
ACT御殿場,3,静岡県,御殿場市,null
ザ・サードプラネット 富士店,3,静岡県,富士市,null
タイトーFステーション 静岡店,3,静岡県,静岡市,葵区
ザ・サードプラネット 静岡インター店,3,静岡県,静岡市,駿河区
ザ・サードプラネット フレスポ静岡店,3,静岡県,静岡市,清水区
シートピアYAZ焼津店,3,静岡県,焼津市,null
ポ－ト２４浜松店,3,静岡県,浜松市,西区
YAZワールド浜松葵店,3,静岡県,浜松市,中区
ザ・サードプラネット OZ浜松店,3,静岡県,浜松市,東区
ラウンドワン浜松店,3,静岡県,浜松市,東区
ＹＡＺ磐田店,3,静岡県,磐田市,null
豊川メトロポリス,3,愛知県,豊川市,null
ファンタジアン蒲郡店,3,愛知県,蒲郡市,null
ファンタジアン岡崎店,3,愛知県,岡崎市,null
ゲームランド岡崎,3,愛知県,岡崎市,null
安城メトロポリス,3,愛知県,安城市,null
ユーファクトリー安城,3,愛知県,安城市,null
コムテックタワー,3,愛知県,名古屋市,中村区
ｎａｍｃｏ名古屋駅前店,3,愛知県,名古屋市,中村区
♪名古屋レジャーランドささしま店,9,愛知県,名古屋市,中村区
ラウンドワン中川･1号線店,3,愛知県,名古屋市,中川区
中川メトロポリス,3,愛知県,名古屋市,中川区
楽市楽座イオンモール名古屋茶屋店,3,愛知県,名古屋市,港区
クラブ セガ 金山,3,愛知県,名古屋市,熱田区
名古屋レジャーランド内田橋店,3,愛知県,名古屋市,南区
名古屋レジャーランド大高店,3,愛知県,名古屋市,緑区
キングジョイ,3,愛知県,名古屋市,中区
タイトーステーション 大須店,3,愛知県,名古屋市,中区
アーバンスクエア大須,3,愛知県,名古屋市,中区
ユーズランド東浦店,3,愛知県,知多郡,東浦町
M's Park 豊田店,3,愛知県,豊田市,null
半田メトロポリス,3,愛知県,半田市,null
ラウンドワン名古屋西春店,3,愛知県,北名古屋市,null
小牧メトロポリス,3,愛知県,小牧市,null
オークランドボウル春日井ゲーム,3,愛知県,春日井市,null
ファイブオー春日井店,3,愛知県,春日井市,null
タカラ島 尾張旭店,3,愛知県,尾張旭市,null
M's Park 三郷店西館,3,愛知県,尾張旭市,null
ゲームゾーン一宮店,3,愛知県,一宮市,null
ＡＣグランド茜部店,3,岐阜県,岐阜市,null
岐阜レジャーランド穂積店,3,岐阜県,瑞穂市,null
ラウンドワンモレラ岐阜店,3,岐阜県,本巣市,null
大垣メトロポリス,3,岐阜県,大垣市,null
YAZワールド四日市店,3,三重県,四日市市,null
アミパラ鈴鹿店,3,三重県,鈴鹿市,null
オークランドシティ津店,3,三重県,津市,null
アミパラ草津店,3,滋賀県,草津市,null
エースレーン近江八幡,3,滋賀県,近江八幡市,null
アクション長浜,3,滋賀県,長浜市,null
ｎａｍｃｏイオンモールＫＹＯＴＯ店,3,京都府,京都市,南区
ラウンドワン京都河原町店,3,京都府,京都市,中京区
ゲームパニック京都,3,京都府,京都市,中京区
ハリケーン京都本店,3,京都府,京都市,中京区
ザ・サードプラネット BiVi京都二条店,3,京都府,京都市,中京区
アミパラ京都南店,3,京都府,向日市,null
♪ｎａｍｃｏ梅田店,9,大阪府,大阪市,北区
♫ラウンドワン梅田店,6,大阪府,大阪市,北区
シャトーＥＸ,3,大阪府,大阪市,都島区
♪ラウンドワン千日前店,9,大阪府,大阪市,中央区
タイトーステーション 難波店,3,大阪府,大阪市,中央区
タイトーFステーションあべのアポロ店,3,大阪府,大阪市,阿倍野区
G-palaあべの,3,大阪府,大阪市,阿倍野区
セガ難波アビオン,3,大阪府,大阪市,浪速区
ｎａｍｃｏ大阪日本橋店,3,大阪府,大阪市,浪速区
チャレンジャ－ガムガム店,3,大阪府,吹田市,null
エンターテインメント　フィールド　ららぽーとエキスポシティ店,3,大阪府,吹田市,null
YAZ寝屋川店,3,大阪府,寝屋川市,null
楽市楽座イオンモール四条畷店,3,大阪府,四条畷市,null
あうとばぁん,3,大阪府,東大阪市,null
ゲームフェイス　八尾店,3,大阪府,八尾市,null
ゲームパニック堺,3,大阪府,堺市,堺区
ラウンドワン堺中央環状店,3,大阪府,堺市,東区
ｎａｍｃｏ三宮店,3,兵庫県,神戸市,中央区
タイトーFステーション 三宮店,3,兵庫県,神戸市,中央区
ラウンドワン三宮駅前店,3,兵庫県,神戸市,中央区
アミパラ垂水店,3,兵庫県,神戸市,垂水区
ジョイプラザ豊岡店,3,兵庫県,豊岡市,null
ラウンドワン姫路飾磨店,3,兵庫県,姫路市,飾磨区
G-pala姫路,3,兵庫県,姫路市,飾磨区
アミパラ加古川店,3,兵庫県,加古川市,null
キッズサーカス奈良柏木店,3,奈良県,奈良市,null
ラウンドワン奈良店,3,奈良県,奈良市,null
アミパラ橿原店,3,奈良県,橿原市,null
ソユーゲームフィールド奈良橿原店,3,奈良県,橿原市,null
プレイランドサーカス太田店,3,和歌山県,和歌山市,null
ラウンドワン和歌山店,3,和歌山県,和歌山市,null
スターダスト,3,岡山県,岡山市,北区
アミパラテクノランド,3,岡山県,岡山市,北区
♪アミパラ岡山店,9,岡山県,岡山市,北区
ラウンドワン岡山妹尾店,3,岡山県,岡山市,南区
ユーズランド倉敷店,3,岡山県,倉敷市,null
アミパラ倉敷店,3,岡山県,倉敷市,null
あみぱらんど福山店,3,広島県,福山市,null
福山メトロポリス,3,広島県,福山市,null
ラウンドワン福山店,3,広島県,福山市,null
タイトーステーション 広島紙屋町店,3,広島県,広島市,中区
ラウンドワン広島店,3,広島県,広島市,中区
Sｐｉｃａ広島八丁堀店,3,広島県,広島市,中区
♪GIGAZONE広島駅前店,9,広島県,広島市,南区
ｎａｍｃｏイオンモール広島府中店,3,広島県,安芸郡,府中町
スペースＶ１ 廿日市店,3,広島県,廿日市市,null
アミパラここじゃ店,3,広島県,東広島市,null
アミパラがいな店,3,鳥取県,米子市,null
G-pala出雲,3,島根県,出雲市,null
youme CIRCUS 出雲,3,島根県,出雲市,null
ザ・サードプラネット 山口店,3,山口県,山口市,null
アミューズメントパークMG 徳島店,3,徳島県,徳島市,null
アミパラ丸亀店,3,香川県,丸亀市,null
アミューズメントパークＭＧ 大街道店,3,愛媛県,松山市,null
アミパラ松山店,3,愛媛県,松山市,null
ＳＯＹＵ　Ｆｏｒｅｓｔ　Ｈｕｎｔｅｒ松前店,3,愛媛県,伊予郡,松前町
タイトーステーション 衣山店,3,愛媛県,松山市,null
プラサカプコン新居浜,3,愛媛県,新居浜市,null
プラサカプコン高知,3,高知県,高知市,null
ラウンドワン高知店,3,高知県,高知市,null
G-pala小倉,3,福岡県,北九州市,小倉南区
G-Stage小倉店,3,福岡県,北九州市,小倉北区
カジノ京町,3,福岡県,北九州市,小倉北区
小倉メトロポリス,3,福岡県,北九州市,小倉北区
ラウンドワン小倉店,3,福岡県,北九州市,小倉北区
♪ラウンドワン福岡天神店,9,福岡県,福岡市,中央区
タイトーステーション 福岡天神店,3,福岡県,福岡市,中央区
♪ｎａｍｃｏ博多バスターミナル店,9,福岡県,福岡市,博多区
タイトーFステーション ヨドバシ博多店,3,福岡県,福岡市,博多区
大宰府Jボウル,3,福岡県,太宰府市,null
楽市楽座イオンモール伊都店,3,福岡県,福岡市,西区
プラサカプコン直方,3,福岡県,直方市,null
大牟田J-GAME,3,福岡県,大牟田市,null
楽市街道くるめ店,3,福岡県,久留米市,null
遊道楽　新合川店,3,福岡県,久留米市,null
ラウンドワン佐賀店,3,佐賀県,佐賀市,null
G-Stage浜町店,3,長崎県,長崎市,null
G-pala時津,3,長崎県,西彼杵郡,時津町
漫画天国,3,熊本県,熊本市,中央区
アムズ・下通り店,3,熊本県,熊本市,中央区
スポラ九品寺,3,熊本県,熊本市,中央区
ｎａｍｃｏＷＣ南熊本店,3,熊本県,熊本市,中央区
パスカワールドグリーンランド店,3,熊本県,荒尾市,null
スポラ菊陽,3,熊本県,菊池郡,菊陽町
タイトーステーション アミュプラザおおいた店,3,大分県,大分市,null
トライセン萩原店,3,大分県,大分市,null
ラウンドワン宮崎店,3,宮崎県,宮崎市,null
ザ・サードプラネット ジャングルパーク鹿児島店,3,鹿児島県,鹿児島市,null
マンガ倉庫鹿児島店,3,鹿児島県,鹿児島市,null
サンゲームス天文館店,3,鹿児島県,鹿児島市,null
G-pala隼人,3,鹿児島県,霧島市,null
ｎａｍｃｏ那覇メインプレイス店,3,沖縄県,那覇市,null
マンガ倉庫浦添店,3,沖縄県,浦添市,null
ラウンドワン沖縄・宜野湾店,3,沖縄県,宜野湾市,null
